Unnamed: 0,group,name,dice,p_value
0,DU15NET,VIS-P,0.0,0.2417582417582417
1,DU15NET,CG-OP,0.0,0.6653346653346653
2,DU15NET,DN-B,0.145233525271913,0.0369630369630369
3,DU15NET,SMOT-B,0.0,0.3196803196803197
4,DU15NET,AUD,0.0,0.2247752247752247
5,DU15NET,PM-PPr,0.0,0.3696303696303696
6,DU15NET,dATN-B,0.0,0.4135864135864135
7,DU15NET,SMOT-A,0.0,0.3776223776223776
8,DU15NET,LANG,0.0012615643397813,0.4865134865134865
9,DU15NET,FPN-B,0.0,0.5734265734265734
10,DU15NET,FPN-A,0.0,0.5814185814185814
11,DU15NET,dATN-A,0.0,0.6063936063936064
12,DU15NET,VIS-C,0.0,0.1618381618381618
13,DU15NET,SAL/PMN,0.1005867560771165,0.0849150849150849
14,DU15NET,DN-A,0.1180842279108175,0.0589410589410589
15,DU15NET,NONE,0.0217180531316656,0.2267732267732267
16,TW_TASK_NETS,1RESP,0.0,0.8231768231768232
17,TW_TASK_NETS,2RESP,0.0,0.8401598401598401
18,TW_TASK_NETS,AAR,0.0,0.8321678321678322
19,TW_TASK_NETS,AUD,0.00846519502507,0.5474525474525475
20,TW_TASK_NETS,DMNA,0.0964822752942777,0.0829170829170829
21,TW_TASK_NETS,DMNB,0.108877964141122,0.0499500499500499
22,TW_TASK_NETS,FoVF,0.0,0.4405594405594406
23,TW_TASK_NETS,INIT,0.0,0.7572427572427572
24,TW_TASK_NETS,LN,0.0026276605062625,0.7232767232767233
25,TW_TASK_NETS,MAIN,0.0064379947229551,0.7502497502497503
26,TW_TASK_NETS,MDN,0.0018083182640144,0.7882117882117882
27,TW_TASK_NETS,RE-EV,0.0084262995490149,0.6843156843156843
28,XY400K17,DefaultA,0.185809244087185,0.0079920079920079
29,XY400K17,DefaultB,0.125599074533135,0.0429570429570429
30,XY400K17,DefaultC,0.0,0.4025974025974026
31,XY400K17,Language,0.0,0.4125874125874126
32,XY400K17,ControlA,0.0,0.4545454545454545
33,XY400K17,ControlB,0.0007018775223723,0.5994005994005994
34,XY400K17,ControlC,0.0263019463440294,0.2767232767232767
35,XY400K17,Sal/VenAttnA,0.0003487966515521,0.5734265734265734
36,XY400K17,Sal/VenAttnB,0.0016715419974926,0.5234765234765235
37,XY400K17,DorsAttnA,0.0,0.5684315684315684
38,XY400K17,DorsAttnB,0.0,0.2687312687312687
39,XY400K17,Auditory,0.0,0.2037962037962038
40,XY400K17,SomatomotorA,0.0,0.3696303696303696
41,XY400K17,SomatomotorB,0.0,0.2527472527472527
42,XY400K17,VisualA,0.0,0.3216783216783216
43,XY400K17,VisualB,0.0,0.2897102897102897
44,XY400K17,VisualC,0.0,0.1258741258741259
45,EG5,SCAN,0.0,0.1818181818181818
46,EG5,Cingulo-Opercular,0.0005540166204986,0.6393606393606394
47,EG5,Effector-hand,0.0,0.1868131868131868
48,EG5,Effector-mouth,0.0,0.1548451548451548
49,EG5,Effector-foot,0.0,0.1228771228771228
50,EG17,Default,0.1502879605082731,0.0129870129870129
51,EG17,LatVis,0.0,0.3436563436563437
52,EG17,FrontPar,0.0,0.7052947052947053
53,EG17,MedVis,0.0,0.1688311688311688
54,EG17,DorsAttn,0.0,0.5704295704295704
55,EG17,Premotor,0.0,0.3426573426573426
56,EG17,Language,0.0,0.4735264735264735
57,EG17,Salience,0.1939218523878437,0.0289710289710289
58,EG17,CingOperc,0.0,0.7422577422577422
59,EG17,HandSM,0.0,0.3836163836163836
60,EG17,FaceSM,0.0,0.2017982017982018
61,EG17,Auditory,0.0,0.2837162837162837
62,EG17,AntMTL,0.0012949174490126,0.2037962037962038
63,EG17,PostMTL,0.0,0.1598401598401598
64,EG17,ParMemory,0.0,0.1728271728271728
65,EG17,Context,0.0,0.3326673326673326
66,EG17,FootSM,0.0,0.2307692307692307
67,XS268_8,MedFront,0.0793455115992379,0.1148851148851148
68,XS268_8,FrontPar,0.0010156408693885,0.6563436563436563
69,XS268_8,Default,0.1535208977069442,0.0299700299700299
70,XS268_8,Motor,0.0,0.7582417582417582
71,XS268_8,VisualA,0.0,0.3506493506493506
72,XS268_8,VisualB,0.0,0.1848151848151848
73,XS268_8,VisAssoc,0.0,0.4865134865134865
74,XS268_8,SalSubcor,0.047294224647567,0.2607392607392607
75,MG360J12,Visual1,0.0,0.2147852147852147
76,MG360J12,Visual2,0.0,0.3906093906093906
77,MG360J12,Somatomotor,0.0,0.4905094905094905
78,MG360J12,CingOperc,0.007617931438617,0.5394605394605395
79,MG360J12,DorsAttn,0.0,0.5094905094905094
80,MG360J12,Language,0.0,0.4255744255744256
81,MG360J12,FrontPar,0.0188054279303344,0.4835164835164835
82,MG360J12,Auditory,0.0,0.1638361638361638
83,MG360J12,Default,0.1371311346062805,0.0109890109890109
84,MG360J12,PostMulti,0.0,0.2037962037962038
85,MG360J12,VentMulti,0.0,0.1378621378621378
86,MG360J12,OrbitAffective,0.152021563342318,0.0399600399600399
87,Tu19,Posterior Default,0.0,0.2567432567432567
88,Tu19,Dorsomedial PFC,0.0946938775510204,0.0849150849150849
89,Tu19,Dorsal Attention,0.0,0.1148851148851148
90,Tu19,Posterior Frontoparietal,0.0,0.1538461538461538
91,Tu19,Ventromedial PFC,0.1224043715846994,0.0389610389610389
92,Tu19,Lateral PFC,0.0012406947890818,0.2537462537462537
93,Tu19,Anterior PFC,0.0,0.1068931068931069
94,Tu19,Inferior Frontal Gyrus,0.0011318619128466,0.1148851148851148
95,Tu19,Cingulo-Opercular/Action Mode,0.005227781926811,0.1768231768231768
96,Tu19,Language,0.0,0.3926073926073926
97,Tu19,Salience,0.4116002795248078,0.0039960039960039
98,Tu19,Parietal Memory,0.0,0.0999000999000999
99,Tu19,Premotor/Dorsal Attention II,0.0,0.4185814185814185
100,Tu19,Visual Peripheral,0.0,0.2427572427572427
101,Tu19,Visual Central,0.0,0.2197802197802197
102,Tu19,Parietal-Occipital/Context Association,0.0,0.2737262737262737
103,Tu19,Visual Streams,0.0,0.4005994005994006
104,Tu19,Dorsal SM,0.0,0.4985014985014985
105,Tu19,Ventral SM,0.0,0.2447552447552447
106,Kardan10,Motor,0.0,0.4535464535464535
107,Kardan10,Temporal,0.0,0.4295704295704295
108,Kardan10,pFPN,0.0,0.4205794205794206
109,Kardan10,pDMN,0.0,0.4335664335664335
110,Kardan10,LateralVis,0.0,0.3026973026973027
111,Kardan10,MedialVis,0.0,0.2437562437562437
112,Kardan10,DAN,0.0,0.3846153846153846
113,Kardan10,aFPN,0.0144785756212091,0.2457542457542457
114,Kardan10,CO,0.0049958368026644,0.3126873126873127
115,Kardan10,aDMN,0.3167993468054705,0.0019980019980019
