Unnamed: 0,group,name,dice,p_value
0,DU15NET,VIS-P,0.0998478771954086,0.1848151848151848
1,DU15NET,CG-OP,0.0,0.902097902097902
2,DU15NET,DN-B,0.0,0.926073926073926
3,DU15NET,SMOT-B,0.0,0.5344655344655345
4,DU15NET,AUD,0.0,0.3726273726273726
5,DU15NET,PM-PPr,0.0043668122270742,0.5054945054945055
6,DU15NET,dATN-B,0.5235861350013031,0.0019980019980019
7,DU15NET,SMOT-A,0.0,0.5984015984015985
8,DU15NET,LANG,0.0,0.7762237762237763
9,DU15NET,FPN-B,0.0008639308855291,0.8281718281718282
10,DU15NET,FPN-A,0.0890289001506643,0.2487512487512487
11,DU15NET,dATN-A,0.2186827378390013,0.0209790209790209
12,DU15NET,VIS-C,0.0513015390461713,0.1798201798201798
13,DU15NET,SAL/PMN,0.0071135430916552,0.7032967032967034
14,DU15NET,DN-A,0.0008127878623679,0.8071928071928072
15,DU15NET,NONE,0.0096166341780376,0.3606393606393606
16,TW_TASK_NETS,1RESP,0.1927863319974689,0.1338661338661338
17,TW_TASK_NETS,2RESP,0.2231947483588621,0.0819180819180819
18,TW_TASK_NETS,AAR,0.0061168420506972,0.906093906093906
19,TW_TASK_NETS,AUD,0.067393126571668,0.4565434565434565
20,TW_TASK_NETS,DMNA,0.0621990136350449,0.5224775224775224
21,TW_TASK_NETS,DMNB,0.0025656689065363,0.951048951048951
22,TW_TASK_NETS,FoVF,0.3287778979451381,0.0569430569430569
23,TW_TASK_NETS,INIT,0.4189538772162282,0.0009990009990009
24,TW_TASK_NETS,LN,0.0950197061984951,0.4035964035964036
25,TW_TASK_NETS,MAIN,0.1100148920327624,0.3906093906093906
26,TW_TASK_NETS,MDN,0.3224929709465792,0.0019980019980019
27,TW_TASK_NETS,RE-EV,0.0644662197008767,0.5954045954045954
28,XY400K17,DefaultA,0.0002220495170423,0.9000999000999002
29,XY400K17,DefaultB,0.0,0.8631368631368631
30,XY400K17,DefaultC,0.0238512802525429,0.4155844155844156
31,XY400K17,Language,0.0,0.6923076923076923
32,XY400K17,ControlA,0.1307751343054489,0.1328671328671328
33,XY400K17,ControlB,0.0046133300959087,0.8421578421578422
34,XY400K17,ControlC,0.0208201892744479,0.5654345654345654
35,XY400K17,Sal/VenAttnA,0.0,0.8481518481518482
36,XY400K17,Sal/VenAttnB,0.0,0.8571428571428571
37,XY400K17,DorsAttnA,0.1479057591623036,0.1108891108891109
38,XY400K17,DorsAttnB,0.004265091863517,0.4085914085914086
39,XY400K17,Auditory,0.0,0.3286713286713286
40,XY400K17,SomatomotorA,0.0,0.6003996003996004
41,XY400K17,SomatomotorB,0.0,0.3866133866133866
42,XY400K17,VisualA,0.4015805649056052,0.0069930069930069
43,XY400K17,VisualB,0.2596301095535399,0.0769230769230769
44,XY400K17,VisualC,0.0187731936258458,0.1778221778221778
45,EG5,SCAN,0.0,0.3306693306693307
46,EG5,Cingulo-Opercular,0.0,0.8811188811188811
47,EG5,Effector-hand,0.0,0.3226773226773227
48,EG5,Effector-mouth,0.0,0.2447552447552447
49,EG5,Effector-foot,0.0,0.2407592407592407
50,EG17,Default,0.0035616235067151,0.932067932067932
51,EG17,LatVis,0.3887013279315777,0.0349650349650349
52,EG17,FrontPar,0.019903560069765,0.6713286713286714
53,EG17,MedVis,0.0049742405400604,0.2627372627372627
54,EG17,DorsAttn,0.4139997602780774,0.0039960039960039
55,EG17,Premotor,0.0,0.5614385614385614
56,EG17,Language,0.0,0.7562437562437563
57,EG17,Salience,0.0,0.4885114885114885
58,EG17,CingOperc,0.0,0.938061938061938
59,EG17,HandSM,0.0,0.6843156843156843
60,EG17,FaceSM,0.0,0.3386613386613387
61,EG17,Auditory,0.0,0.4505494505494505
62,EG17,AntMTL,0.0,0.3156843156843157
63,EG17,PostMTL,0.0,0.2617382617382617
64,EG17,ParMemory,0.0211617361261066,0.2137862137862138
65,EG17,Context,0.0140604218126543,0.3476523476523476
66,EG17,FootSM,0.0,0.3746253746253746
67,XS268_8,MedFront,0.0,0.8881118881118881
68,XS268_8,FrontPar,0.005813953488372,0.7602397602397603
69,XS268_8,Default,0.0476574191320363,0.4445554445554445
70,XS268_8,Motor,0.0,0.9370629370629372
71,XS268_8,VisualA,0.2214960905589917,0.0869130869130869
72,XS268_8,VisualB,0.1311416184971098,0.1218781218781218
73,XS268_8,VisAssoc,0.3605005783994111,0.0169830169830169
74,XS268_8,SalSubcor,0.0716428445385565,0.4675324675324675
75,MG360J12,Visual1,0.0157994161085351,0.2657342657342657
76,MG360J12,Visual2,0.4821257885681514,0.0019980019980019
77,MG360J12,Somatomotor,0.0,0.6913086913086913
78,MG360J12,CingOperc,0.0050090005478594,0.7852147852147852
79,MG360J12,DorsAttn,0.2344292969794172,0.0309690309690309
80,MG360J12,Language,0.0,0.7272727272727273
81,MG360J12,FrontPar,0.0275699756241069,0.7662337662337663
82,MG360J12,Auditory,0.0,0.2807192807192807
83,MG360J12,Default,0.0007888509071785,0.942057942057942
84,MG360J12,PostMulti,0.0,0.3856143856143856
85,MG360J12,VentMulti,0.0115678578806031,0.1958041958041958
86,MG360J12,OrbitAffective,0.0,0.2347652347652347
87,Tu19,Posterior Default,0.0067375886524822,0.3506493506493506
88,Tu19,Dorsomedial PFC,0.0,0.4085914085914086
89,Tu19,Dorsal Attention,0.0,0.2607392607392607
90,Tu19,Posterior Frontoparietal,0.0,0.2977022977022977
91,Tu19,Ventromedial PFC,0.0,0.2197802197802197
92,Tu19,Lateral PFC,0.0,0.4055944055944055
93,Tu19,Anterior PFC,0.0,0.2207792207792207
94,Tu19,Inferior Frontal Gyrus,0.0,0.2167832167832167
95,Tu19,Cingulo-Opercular/Action Mode,0.0,0.3166833166833167
96,Tu19,Language,0.0,0.5054945054945055
97,Tu19,Salience,0.0,0.4585414585414585
98,Tu19,Parietal Memory,0.0,0.2157842157842157
99,Tu19,Premotor/Dorsal Attention II,0.0104942806170637,0.5014985014985015
100,Tu19,Visual Peripheral,0.0453361923724919,0.2317682317682317
101,Tu19,Visual Central,0.3148204970849954,0.0459540459540459
102,Tu19,Parietal-Occipital/Context Association,0.0099326002128414,0.3306693306693307
103,Tu19,Visual Streams,0.4695842984274046,0.0019980019980019
104,Tu19,Dorsal SM,0.0020876826722338,0.6903096903096904
105,Tu19,Ventral SM,0.0,0.3696303696303696
106,Kardan10,Motor,0.0035125378085666,0.6253746253746254
107,Kardan10,Temporal,0.0009749439407234,0.5214785214785215
108,Kardan10,pFPN,0.4331483350151362,0.0019980019980019
109,Kardan10,pDMN,0.0141163936609402,0.4655344655344655
110,Kardan10,LateralVis,0.2795556731023538,0.0689310689310689
111,Kardan10,MedialVis,0.0170281775795661,0.2747252747252747
112,Kardan10,DAN,0.0,0.5834165834165834
113,Kardan10,aFPN,0.0,0.4745254745254745
114,Kardan10,CO,0.0,0.5644355644355644
