Unnamed: 0,group,name,dice,p_value
0,DU15NET,VIS-P,0.0,0.3346653346653346
1,DU15NET,CG-OP,0.4218563588642329,0.0009990009990009
2,DU15NET,DN-B,0.0,0.7912087912087912
3,DU15NET,SMOT-B,0.0020408163265306,0.3106893106893107
4,DU15NET,AUD,0.0047812574707147,0.2517482517482518
5,DU15NET,PM-PPr,0.0089039643841424,0.3176823176823177
6,DU15NET,dATN-B,0.0,0.5214785214785215
7,DU15NET,SMOT-A,0.0047732696897374,0.3916083916083916
8,DU15NET,LANG,0.0121450258974816,0.4885114885114885
9,DU15NET,FPN-B,0.0003809523809523,0.7002997002997003
10,DU15NET,FPN-A,0.0121298608633606,0.5054945054945055
11,DU15NET,dATN-A,0.0,0.7202797202797203
12,DU15NET,VIS-C,0.0,0.2067932067932067
13,DU15NET,SAL/PMN,0.0317008014247551,0.4035964035964036
14,DU15NET,DN-A,0.0,0.7342657342657343
15,DU15NET,NONE,0.0,0.4615384615384615
16,TW_TASK_NETS,1RESP,0.0860501476634431,0.2367632367632367
17,TW_TASK_NETS,2RESP,0.0496360695511524,0.4215784215784215
18,TW_TASK_NETS,AAR,0.1887929074789724,0.0229770229770229
19,TW_TASK_NETS,AUD,0.171358024691358,0.0879120879120879
20,TW_TASK_NETS,DMNA,0.045045045045045,0.4105894105894105
21,TW_TASK_NETS,DMNB,0.0034071550255536,0.8441558441558441
22,TW_TASK_NETS,FoVF,0.0,0.5694305694305695
23,TW_TASK_NETS,INIT,0.0066412321605199,0.6663336663336663
24,TW_TASK_NETS,LN,0.0388254486133768,0.4765234765234765
25,TW_TASK_NETS,MAIN,0.0682059313898853,0.3056943056943056
26,TW_TASK_NETS,MDN,0.0080427589717485,0.7802197802197802
27,TW_TASK_NETS,RE-EV,0.0191014410850522,0.6823176823176823
28,XY400K17,DefaultA,0.0,0.7812187812187812
29,XY400K17,DefaultB,0.0,0.7442557442557443
30,XY400K17,DefaultC,0.0,0.5424575424575424
31,XY400K17,Language,0.001316944688323,0.4965034965034965
32,XY400K17,ControlA,0.0053941908713692,0.4625374625374625
33,XY400K17,ControlB,0.0,0.7932067932067932
34,XY400K17,ControlC,0.0060279870828848,0.5694305694305695
35,XY400K17,Sal/VenAttnA,0.2748973696214079,0.0049950049950049
36,XY400K17,Sal/VenAttnB,0.3183513945638657,0.0009990009990009
37,XY400K17,DorsAttnA,0.0,0.6953046953046953
38,XY400K17,DorsAttnB,0.0009088843444671,0.3306693306693307
39,XY400K17,Auditory,0.0172062485850124,0.2147852147852147
40,XY400K17,SomatomotorA,0.0085130533484676,0.3806193806193806
41,XY400K17,SomatomotorB,0.034342133505044,0.1878121878121878
42,XY400K17,VisualA,0.0,0.4235764235764235
43,XY400K17,VisualB,0.0,0.3856143856143856
44,XY400K17,VisualC,0.0,0.1678321678321678
45,EG5,SCAN,0.0054708870652598,0.1608391608391608
46,EG5,Cingulo-Opercular,0.4100210839637851,0.0009990009990009
47,EG5,Effector-hand,0.0,0.2287712287712287
48,EG5,Effector-mouth,0.0,0.1778221778221778
49,EG5,Effector-foot,0.0,0.1708291708291708
50,EG17,Default,0.0,0.93006993006993
51,EG17,LatVis,0.0,0.4525474525474525
52,EG17,FrontPar,0.0,0.8301698301698301
53,EG17,MedVis,0.0,0.2597402597402597
54,EG17,DorsAttn,0.0,0.6963036963036963
55,EG17,Premotor,0.0,0.4415584415584415
56,EG17,Language,0.0,0.6113886113886113
57,EG17,Salience,0.0077626836706404,0.3096903096903097
58,EG17,CingOperc,0.3950047224262776,0.0009990009990009
59,EG17,HandSM,0.0,0.5194805194805194
60,EG17,FaceSM,0.0,0.2467532467532467
61,EG17,Auditory,0.0339051463168516,0.1908091908091908
62,EG17,AntMTL,0.0,0.2997002997002997
63,EG17,PostMTL,0.0,0.2217782217782218
64,EG17,ParMemory,0.0,0.2627372627372627
65,EG17,Context,0.0,0.4405594405594406
66,EG17,FootSM,0.0,0.2947052947052947
67,XS268_8,MedFront,0.0305140282613147,0.5134865134865135
68,XS268_8,FrontPar,0.0130975769482645,0.5624375624375625
69,XS268_8,Default,0.0,0.7512487512487512
70,XS268_8,Motor,0.1327233473835715,0.1408591408591408
71,XS268_8,VisualA,0.0,0.4565434565434565
72,XS268_8,VisualB,0.0,0.2407592407592407
73,XS268_8,VisAssoc,0.0,0.6063936063936064
74,XS268_8,SalSubcor,0.0975204896773524,0.1798201798201798
75,MG360J12,Visual1,0.0,0.3116883116883117
76,MG360J12,Visual2,0.0,0.5264735264735265
77,MG360J12,Somatomotor,0.0092661537188715,0.4515484515484515
78,MG360J12,CingOperc,0.3271972568128496,0.0009990009990009
79,MG360J12,DorsAttn,0.0,0.6393606393606394
80,MG360J12,Language,0.0030704279408942,0.5034965034965035
81,MG360J12,FrontPar,0.0074495197020192,0.7612387612387612
82,MG360J12,Auditory,0.0287849432604483,0.1708291708291708
83,MG360J12,Default,0.0,0.902097902097902
84,MG360J12,PostMulti,0.0,0.3086913086913087
85,MG360J12,VentMulti,0.0,0.2147852147852147
86,MG360J12,OrbitAffective,0.0096367679762787,0.1578421578421578
87,Tu19,Posterior Default,0.0,0.3506493506493506
88,Tu19,Dorsomedial PFC,0.0,0.2977022977022977
89,Tu19,Dorsal Attention,0.0,0.1488511488511488
90,Tu19,Posterior Fronto-parietal,0.0,0.2097902097902098
91,Tu19,Ventromedial PFC,0.0,0.1548451548451548
92,Tu19,Lateral PFC,0.0,0.4005994005994006
93,Tu19,Anterior PFC,0.0,0.1588411588411588
94,Tu19,Inferior fronto-parietal,0.0015325670498084,0.1468531468531468
95,Tu19,Cingulo-opercular,0.5538199375177506,0.0019980019980019
96,Tu19,Ventral Attention,0.0,0.5374625374625375
