Unnamed: 0,group,name,dice,p_value
0,DU15NET,VIS-P,0.0,0.2967032967032967
1,DU15NET,CG-OP,0.0773626373626373,0.2837162837162837
2,DU15NET,DN-B,0.0,0.8231768231768232
3,DU15NET,SMOT-B,0.6941972232111071,0.0009990009990009
4,DU15NET,AUD,0.0,0.3216783216783216
5,DU15NET,PM-PPr,0.1111315547378104,0.1408591408591408
6,DU15NET,dATN-B,0.0,0.4895104895104895
7,DU15NET,SMOT-A,0.0227602905569007,0.3156843156843157
8,DU15NET,LANG,0.0,0.6383616383616384
9,DU15NET,FPN-B,0.0,0.7332667332667333
10,DU15NET,FPN-A,0.0,0.7282717282717283
11,DU15NET,dATN-A,0.0,0.7132867132867133
12,DU15NET,VIS-C,0.0,0.1968031968031968
13,DU15NET,SAL/PMN,0.0,0.7542457542457542
14,DU15NET,DN-A,0.0,0.7202797202797203
15,DU15NET,NONE,0.0,0.3866133866133866
16,TW_TASK_NETS,1RESP,0.1648968699616389,0.1078921078921078
17,TW_TASK_NETS,2RESP,0.0884791727636328,0.3346653346653346
18,TW_TASK_NETS,AAR,0.2474609588293109,0.0169830169830169
19,TW_TASK_NETS,AUD,0.2187019742286322,0.0889110889110889
20,TW_TASK_NETS,DMNA,0.0179603887317013,0.7952047952047953
21,TW_TASK_NETS,DMNB,0.0,0.9410589410589412
22,TW_TASK_NETS,FoVF,0.0,0.5144855144855145
23,TW_TASK_NETS,INIT,0.0991124260355029,0.2607392607392607
24,TW_TASK_NETS,LN,0.0206503313299429,0.6373626373626373
25,TW_TASK_NETS,MAIN,0.0108234605821266,0.8071928071928072
26,TW_TASK_NETS,MDN,0.022786426361538,0.6473526473526473
27,TW_TASK_NETS,RE-EV,0.0,0.932067932067932
28,XY400K17,DefaultA,0.0,0.7852147852147852
29,XY400K17,DefaultB,0.0,0.7572427572427572
30,XY400K17,DefaultC,0.0,0.5254745254745254
31,XY400K17,Language,0.0015168752370117,0.5104895104895105
32,XY400K17,ControlA,0.0021668472372697,0.5694305694305695
33,XY400K17,ControlB,0.0,0.7722277722277723
34,XY400K17,ControlC,0.0,0.6633366633366633
