Unnamed: 0,group,name,dice,p_value
0,DU15NET,VIS-P,0.0841206949100883,0.2097902097902098
1,DU15NET,CG-OP,0.0076530612244897,0.8481518481518482
2,DU15NET,DN-B,0.0004925501785494,0.9250749250749252
3,DU15NET,SMOT-B,0.0,0.5684315684315684
4,DU15NET,AUD,0.0,0.4315684315684315
5,DU15NET,PM-PPr,0.0,0.6283716283716284
6,DU15NET,dATN-B,0.0693790149892933,0.2777222777222777
7,DU15NET,SMOT-A,0.0,0.6653346653346653
8,DU15NET,LANG,0.0,0.8161838161838162
9,DU15NET,FPN-B,0.0019120458891013,0.8211788211788211
10,DU15NET,FPN-A,0.0003015681544028,0.8581418581418582
11,DU15NET,dATN-A,0.0974603174603174,0.1548451548451548
12,DU15NET,VIS-C,0.0,0.2867132867132867
13,DU15NET,SAL/PMN,0.0442704411986146,0.4445554445554445
14,DU15NET,DN-A,0.4662594964993297,0.0009990009990009
15,DU15NET,NONE,0.0327355536578423,0.3686313686313686
16,TW_TASK_NETS,1RESP,0.0102760317026509,0.8911088911088911
17,TW_TASK_NETS,2RESP,0.0149927919269581,0.8581418581418582
18,TW_TASK_NETS,AAR,0.0104177854151004,0.924075924075924
19,TW_TASK_NETS,AUD,0.0939277835829559,0.3356643356643357
20,TW_TASK_NETS,DMNA,0.2612579983097911,0.0039960039960039
21,TW_TASK_NETS,DMNB,0.2003694032227246,0.0169830169830169
22,TW_TASK_NETS,FoVF,0.2559461166070301,0.0479520479520479
23,TW_TASK_NETS,INIT,0.0187088274044795,0.7882117882117882
24,TW_TASK_NETS,LN,0.0,0.977022977022977
25,TW_TASK_NETS,MAIN,0.00749315529084,0.973026973026973
26,TW_TASK_NETS,MDN,0.0178027187847709,0.8911088911088911
27,TW_TASK_NETS,RE-EV,0.0,0.996003996003996
28,XY400K17,DefaultA,0.156392420244663,0.0719280719280719
29,XY400K17,DefaultB,0.0,0.902097902097902
30,XY400K17,DefaultC,0.4824160540433141,0.0009990009990009
31,XY400K17,Language,0.0,0.6973026973026973
32,XY400K17,ControlA,0.0,0.7422577422577422
33,XY400K17,ControlB,0.0005285412262156,0.8851148851148851
34,XY400K17,ControlC,0.071592311761594,0.2507492507492507
35,XY400K17,Sal/VenAttnA,0.0044719189793502,0.8311688311688312
36,XY400K17,Sal/VenAttnB,0.0432757325319308,0.4465534465534465
37,XY400K17,DorsAttnA,0.0043035432506096,0.7682317682317682
38,XY400K17,DorsAttnB,0.0,0.5004995004995005
39,XY400K17,Auditory,0.0,0.3946053946053946
40,XY400K17,SomatomotorA,0.0,0.6573426573426573
41,XY400K17,SomatomotorB,0.0,0.4325674325674326
42,XY400K17,VisualA,0.0369889682024659,0.3376623376623376
43,XY400K17,VisualB,0.0864450127877237,0.2297702297702297
44,XY400K17,VisualC,0.0,0.2137862137862138
45,EG5,SCAN,0.0,0.3306693306693307
46,EG5,Cingulo-Opercular,0.0006601386291121,0.9150849150849152
47,EG5,Effector-hand,0.0,0.3516483516483517
48,EG5,Effector-mouth,0.0,0.2527472527472527
49,EG5,Effector-foot,0.0,0.2647352647352647
50,EG17,Default,0.113366645846346,0.2207792207792207
51,EG17,LatVis,0.0520871364244858,0.3396603396603396
52,EG17,FrontPar,0.0004406256884776,0.91008991008991
53,EG17,MedVis,0.0354838709677419,0.2127872127872128
54,EG17,DorsAttn,0.0182434193380244,0.5854145854145855
